Show_Name,Date_Close,Date_Open,Year,Days Open,Prod_Type,Show_Type,Theatre,,,,
Bring It On: The Musical,12/30/2012,8/1/2012,2012,151,Production,Musical,St. James Theatre,,,,
Undisputed Truth,8/12/2012,7/31/2012,2012,12,Original Production,Special,Longacre Theatre,,,,
Fela!,8/4/2012,7/12/2012,2012,23,Revival,Musical,Al Hirschfeld Theatre,,,,
Harvey,8/5/2012,6/14/2012,2012,52,Production,Play,Studio 54,,,,
Don't Dress for Dinner,6/17/2012,4/26/2012,2012,52,Original Production,Play,American Airlines Theatre,,,,
Leap of Faith,5/13/2012,4/26/2012,2012,17,Production,Musical,St. James Theatre,,,,
The Columnist,7/8/2012,4/25/2012,2012,74,Original Production,Play,Samuel J. Friedman Theatre,,,,
Nice Work If You Can Get It,6/15/2013,4/24/2012,2012,417,Revival,Musical,Imperial Theatre,,,,
Ghost the Musical,8/18/2012,4/23/2012,2012,117,Production,Musical,Lunt-Fontanne Theatre,,,,
The Lyons,7/1/2012,4/23/2012,2012,69,Original Production,Play,Cort Theatre,,,,
A Streetcar Named Desire,7/22/2012,4/22/2012,2012,91,Premiere,Play,Broadhurst Theatre,,,,
Clybourne Park,9/2/2012,4/19/2012,2012,136,Original Production,Play,Walter Kerr Theatre,,,,
"One Man, Two Guvnors",9/2/2012,4/18/2012,2012,137,Original Production,Play,Music Box Theatre,,,,
Peter and the Starcatcher,1/20/2013,4/15/2012,2012,280,Original Production,Play,Brooks Atkinson Theatre,,,,
Magic/Bird,5/12/2012,4/11/2012,2012,31,Production,Play,Longacre Theatre,,,,
Evita,1/26/2013,4/5/2012,2012,296,Premiere,Musical,Marquis Theatre,,,,
End of the Rainbow,8/19/2012,4/2/2012,2012,139,Original Production,Play,Belasco Theatre,,,,
Gore Vidal's The Best Man,9/9/2012,4/1/2012,2012,161,Premiere,Play,Gerald Schoenfeld Theatre,,,,
Newsies The Musical,8/24/2014,3/29/2012,2012,878,,Musical,Nederlander Theatre,,,,
Jesus Christ Superstar,7/1/2012,3/22/2012,2012,101,Production,Musical,Neil Simon Theatre,,,,
Once,1/4/2015,3/18/2012,2012,1022,Revival,Musical,Bernard B. Jacobs Theatre,,,,
