Show,Avg_Cap,Avg_Gross,
Sunday In The Park With George,0.9975,1018739.1,2017
Sunset Boulevard,0.8161,1134842.71,2017
Superior Donuts,0.603,303165,2010
Swan Lake,0.83,402403,1999
Sweat,0.8353,287144.59,2017
Sweeney Todd,0.699,446004.42,2006
Sweet Charity,0.804,838097,2006
Sweet Smell Of Success,0.6649,462371.88,2002
Swing ,0.5495,403959,2001
Sylvia,0.721,391703,2016
Taboo,0.617,328122,2004
Take Me Out,0.77,351023,2004
Taking Sides,0.6139,132590.38,1996
Talk Radio,0.5145,236263.84,2007
Taller Than A Dwarf,0.653,213088.42,2000
Tango Argentino,0.465,284029,2000
Tartuffe,0.9304,241631.38,2003
Tartuffe 1997,0.4023,42940.75,1996
Tarzan,0.8048,573570.48,2007
Th R Se Raquin,0.764,370028,2016
That Championship Season,0.7461,527688.69,2011
The 25th Annual Putnam County Spelling Bee,0.7917,252786.67,2008
The 39 Steps,0.763,248221,2010
The Addams Family,0.987,1456119,2012
The Adventures Of Tom Sawyer,0.6921,315975.57,2001
The American Plan,0.6428,166816.42,2009
The Anarchist,0.7038,330282.2,2012
The Apple Tree,0.7496,318940.3,2007
The Assembled Parties,0.8577,284318.74,2013
The Audience,1.0084,1103649.35,2015
The Band's Visit,0.9589,939132.15,2018
The Beauty Queen Of Leenane,0.6995,194422,1999
The Big Knife,0.7262,212514.91,2013
The Blonde In The Thunderbird,0.755,63721.67,2005
The Blue Room,1.0054,382673.44,1999
The Book Of Mormon,1.0275,1162407.76,2018
The Boy From Oz,0.9395,856346.22,2004
The Boys From Syracuse,0.9176,252775,2002
The Boys In The Band,1.012,996238,2018
The Bridges Of Madison County,0.7327,373885.06,2014
The Caine Mutiny Court Martial,0.4182,157633.83,2006
The Capeman,0.72,448254,1998
The Caretaker,0.908,251623,2004
The Chairs,0.7143,152543.08,1998
The Cherry Orchard,0.8323,324956.5,2016
The Children,0.822,264621.4,2018
The Civil War,0.5029,293731.25,1999
The Coast Of Utopia,0.9241,473455.78,2007
The Coast Of Utopia  Part 1 Voyage ,0.8664,239511,2006
The Color Purple,0.9935,1172880.5,2017
The Columnist,0.8426,250363.29,2012
The Constant Wife,0.8545,258885.08,2005
The Country Girl,0.618,371827.19,2008
The Country House,0.7805,216720.73,2014
The Cripple Of Inishmaan,0.7815,523041.13,2014
